Estado,Falla (%),Línea Principal,Relé Principal,TDS (Main),Pickup (Main),I_shc (Main),t_m (Main),Línea Backup,Relé Backup,TDS (Backup),Pickup (Backup),I_shc (Backup),t_b (Backup),Δt,MT
Descoordinado,90,L18-33,R73,0.11720,0.05,1.13,0.255,L32-33,R32,0.13659,0.05182,1.13,0.3007,-0.1543,-0.1543
Descoordinado,10,L19-20,R19,0.20830,0.10167,6.6,0.335,L2-19,R18,0.30480,0.1016,6.6,0.4902,-0.044800000000000006,-0.044800000000000006
Descoordinado,90,L19-20,R56,0.10111,0.06656,1.31,0.2305,L20-21,R57,0.02968,0.75759,1.31,0.3773,-0.0532,-0.0532
Descoordinado,10,L2-19,R18,0.30480,0.1016,10.23,0.4416,L2-3,R39,0.02500,0.35316,0.54,0.4104,-0.23120000000000002,-0.23120000000000002
Descoordinado,90,L2-19,R55,0.09030,0.06884,0.59,0.288,L19-20,R56,0.10111,0.06656,0.59,0.3173,-0.17069999999999996,-0.17069999999999996
Descoordinado,10,L2-3,R2,0.24388,0.05718,9.81,0.315,L2-19,R55,0.09030,0.06884,0.32,0.4051,-0.1099,-0.1099
Descoordinado,90,L2-3,R39,0.02500,0.35316,1.0,0.1664,L3-4,R40,0.13509,0.05098,0.7,0.3516,-0.01479999999999998,-0.01479999999999998
Descoordinado,90,L2-3,R39,0.02500,0.35316,1.0,0.1664,L3-23,R59,0.08014,0.052,0.3,0.3145,-0.0519,-0.0519
Descoordinado,10,L20-21,R20,0.23279,0.06046,2.34,0.4296,L19-20,R19,0.20830,0.10167,2.34,0.4505,-0.17909999999999998,-0.17909999999999998
Descoordinado,90,L20-21,R57,0.02968,0.75759,1.61,0.2735,L21-22,R58,0.16106,0.05192,0.61,0.4464,-0.027100000000000013,-0.027100000000000013
Descoordinado,90,L20-21,R57,0.02968,0.75759,1.61,0.2735,L8-21,R33,0.14430,0.07217,1.01,0.3728,-0.10070000000000001,-0.10070000000000001
Descoordinado,10,L21-22,R21,0.04498,0.52538,2.8,0.185,L8-21,R33,0.14430,0.07217,0.96,0.3803,-0.004699999999999982,-0.004699999999999982
Descoordinado,90,L21-22,R58,0.16106,0.05192,0.86,0.3904,L12-22,R35,0.03397,0.54403,0.86,0.5169,-0.07350000000000001,-0.07350000000000001
Descoordinado,10,L8-21,R33,0.14430,0.07217,2.6,0.2718,L7-8,R7,0.20641,0.052,1.45,0.4199,-0.0519,-0.0519
Descoordinado,10,L8-21,R33,0.14430,0.07217,2.6,0.2718,L8-9,R45,0.10810,0.15651,1.16,0.3703,-0.10149999999999998,-0.10149999999999998
Descoordinado,90,L8-21,R70,0.10362,0.17113,2.26,0.2739,L20-21,R20,0.23279,0.06046,1.75,0.4681,-0.005799999999999972,-0.005799999999999972
Descoordinado,10,L12-22,R72,0.16794,0.05175,1.75,0.3223,L21-22,R21,0.04498,0.52538,0.96,0.5192,-0.0030999999999999917,-0.0030999999999999917
Descoordinado,10,L23-24,R23,0.15112,0.09191,4.13,0.2676,L3-23,R22,0.04156,1.82772,4.13,0.354,-0.11360000000000003,-0.11360000000000003
Descoordinado,90,L23-24,R60,0.09569,0.07596,0.93,0.2608,L24-25,R61,0.12296,0.05966,0.93,0.3049,-0.15589999999999998,-0.15589999999999998
Descoordinado,10,L24-25,R24,0.13901,0.07437,2.36,0.2718,L23-24,R23,0.15112,0.09191,2.36,0.3155,-0.1563,-0.1563
Descoordinado,90,L24-25,R61,0.12296,0.05966,1.29,0.2715,L25-29,R74,0.02606,0.77606,1.29,0.3572,-0.11430000000000001,-0.11430000000000001
Descoordinado,10,L25-29,R37,0.17162,0.05722,1.63,0.3468,L24-25,R24,0.13901,0.07437,1.63,0.3056,-0.24120000000000003,-0.24120000000000003
Descoordinado,90,L25-29,R74,0.02606,0.77606,1.59,0.2525,L28-29,R28,0.16971,0.0561,1.14,0.3827,-0.06980000000000003,-0.06980000000000003
Descoordinado,90,L25-29,R74,0.02606,0.77606,1.59,0.2525,L29-30,R66,0.11672,0.05198,0.46,0.3666,-0.08590000000000003,-0.08590000000000003
Descoordinado,10,L26-27,R26,0.14044,0.06731,3.07,0.2476,L6-26,R25,0.03112,1.4436,3.07,0.2865,-0.16110000000000002,-0.16110000000000002
Descoordinado,90,L26-27,R63,0.13391,0.0809,0.82,0.3954,L27-28,R64,0.15460,0.07827,0.82,0.4499,-0.14549999999999996,-0.14549999999999996
Descoordinado,10,L27-28,R27,0.10741,0.0561,2.53,0.19,L26-27,R26,0.14044,0.06731,2.53,0.2614,-0.1286,-0.1286
Descoordinado,90,L27-28,R64,0.15460,0.07827,1.25,0.3799,L28-29,R65,0.02710,0.87608,1.25,0.5318,-0.048099999999999976,-0.048099999999999976
Descoordinado,10,L28-29,R28,0.16971,0.0561,1.55,0.3462,L27-28,R27,0.10741,0.0561,1.55,0.2191,-0.32710000000000006,-0.32710000000000006
Descoordinado,90,L28-29,R65,0.02710,0.87608,1.76,0.27,L25-29,R37,0.17162,0.05722,1.31,0.3718,-0.09820000000000001,-0.09820000000000001
Descoordinado,90,L28-29,R65,0.02710,0.87608,1.76,0.27,L29-30,R66,0.11672,0.05198,0.45,0.3704,-0.09960000000000002,-0.09960000000000002
Descoordinado,10,L29-30,R29,0.02888,1.04635,2.47,0.2334,L28-29,R28,0.16971,0.0561,1.14,0.3827,-0.05070000000000002,-0.05070000000000002
Descoordinado,10,L29-30,R29,0.02888,1.04635,2.47,0.2334,L25-29,R37,0.17162,0.05722,1.33,0.37,-0.06340000000000001,-0.06340000000000001
Descoordinado,90,L29-30,R66,0.11672,0.05198,0.52,0.3467,L30-31,R67,0.05866,0.07325,0.52,0.2054,-0.34130000000000005,-0.34130000000000005
Descoordinado,10,L3-23,R22,0.04156,1.82772,6.56,0.2248,L2-3,R2,0.24388,0.05718,5.9,0.3514,-0.07340000000000002,-0.07340000000000002
Descoordinado,10,L3-23,R22,0.04156,1.82772,6.56,0.2248,L3-4,R40,0.13509,0.05098,0.66,0.3599,-0.06490000000000001,-0.06490000000000001
Descoordinado,90,L3-23,R59,0.08014,0.052,0.58,0.227,L23-24,R60,0.09569,0.07596,0.58,0.3229,-0.1041,-0.1041
Descoordinado,10,L3-4,R3,0.04565,1.65642,6.25,0.2375,L2-3,R2,0.24388,0.05718,5.99,0.3502,-0.08729999999999999,-0.08729999999999999
Descoordinado,10,L3-4,R3,0.04565,1.65642,6.25,0.2375,L3-23,R59,0.08014,0.052,0.27,0.335,-0.10249999999999998,-0.10249999999999998
Descoordinado,90,L3-4,R40,0.13509,0.05098,1.04,0.3042,L4-5,R41,0.16399,0.07393,1.04,0.4228,-0.08140000000000003,-0.08140000000000003
Descoordinado,10,L30-31,R30,0.15984,0.06699,2.0,0.3184,L29-30,R29,0.02888,1.04635,2.0,0.31,-0.20840000000000003,-0.20840000000000003
Descoordinado,90,L30-31,R67,0.05866,0.07325,0.64,0.1854,L31-32,R68,0.08161,0.05,0.64,0.2184,-0.167,-0.167
Descoordinado,10,L31-32,R31,0.14227,0.0561,1.43,0.2977,L30-31,R30,0.15984,0.06699,1.43,0.3545,-0.14320000000000005,-0.14320000000000005
Descoordinado,90,L31-32,R68,0.08161,0.05,0.7,0.2108,L32-33,R69,0.10428,0.05,0.7,0.2694,-0.14140000000000003,-0.14140000000000003
Descoordinado,10,L32-33,R32,0.13659,0.05182,1.28,0.2887,L31-32,R31,0.14227,0.0561,1.28,0.3086,-0.18010000000000004,-0.18010000000000004
Descoordinado,90,L32-33,R69,0.10428,0.05,0.76,0.261,L18-33,R36,0.10708,0.0561,0.76,0.2802,-0.18080000000000002,-0.18080000000000002
Descoordinado,10,L4-5,R4,0.14355,0.06739,4.51,0.2291,L3-4,R3,0.04565,1.65642,4.51,0.3158,-0.11329999999999998,-0.11329999999999998
Descoordinado,90,L4-5,R41,0.16399,0.07393,1.32,0.3869,L5-6,R42,0.02606,0.93594,1.32,0.5287,-0.058200000000000085,-0.058200000000000085
Descoordinado,10,L5-6,R5,0.19566,0.05406,3.31,0.3194,L4-5,R4,0.14355,0.06739,3.31,0.2481,-0.27130000000000004,-0.27130000000000004
Descoordinado,90,L5-6,R42,0.02606,0.93594,2.0,0.2384,L6-7,R43,0.18215,0.05,1.4,0.37,-0.06840000000000002,-0.06840000000000002
Descoordinado,90,L5-6,R42,0.02606,0.93594,2.0,0.2384,L6-26,R62,0.14064,0.0561,0.6,0.4057,-0.03270000000000001,-0.03270000000000001
Descoordinado,10,L6-26,R25,0.03112,1.4436,3.46,0.247,L5-6,R5,0.19566,0.05406,2.04,0.3637,-0.08329999999999999,-0.08329999999999999
Descoordinado,10,L6-26,R25,0.03112,1.4436,3.46,0.247,L6-7,R43,0.18215,0.05,1.44,0.3668,-0.0802,-0.0802
Descoordinado,90,L6-26,R62,0.14064,0.0561,0.72,0.376,L26-27,R63,0.13391,0.0809,0.72,0.4195,-0.15650000000000003,-0.15650000000000003
Descoordinado,10,L6-7,R6,0.02888,1.22262,2.64,0.2606,L5-6,R5,0.19566,0.05406,2.02,0.3647,-0.09589999999999999,-0.09589999999999999
Descoordinado,10,L6-7,R6,0.02888,1.22262,2.64,0.2606,L6-26,R62,0.14064,0.0561,0.62,0.4,-0.06059999999999999,-0.06059999999999999
Descoordinado,10,L7-8,R7,0.20641,0.052,2.07,0.3779,L6-7,R6,0.02888,1.22262,2.07,0.3819,-0.196,-0.196
Descoordinado,90,L7-8,R44,0.02915,1.20336,2.2,0.3362,L8-21,R70,0.10362,0.17113,0.88,0.4357,-0.10050000000000003,-0.10050000000000003
Descoordinado,90,L7-8,R44,0.02915,1.20336,2.2,0.3362,L8-9,R45,0.10810,0.15651,1.32,0.3474,-0.18880000000000002,-0.18880000000000002
Descoordinado,10,L8-9,R8,0.11321,0.26037,2.4,0.3489,L7-8,R7,0.20641,0.052,1.56,0.4105,-0.13840000000000002,-0.13840000000000002
Descoordinado,10,L8-9,R8,0.11321,0.26037,2.4,0.3489,L8-21,R70,0.10362,0.17113,0.84,0.4487,-0.10020000000000001,-0.10020000000000001
Descoordinado,90,L8-9,R45,0.10810,0.15651,2.05,0.2867,L9-10,R46,0.13681,0.05302,0.49,0.4212,-0.0655,-0.0655
Descoordinado,10,L9-10,R9,0.10692,0.36779,2.86,0.3575,L8-9,R8,0.11321,0.26037,1.4,0.4632,-0.0943,-0.0943
Descoordinado,90,L9-10,R46,0.13681,0.05302,1.07,0.3092,L10-11,R47,0.09646,0.06729,1.07,0.2374,-0.2718,-0.2718
Descoordinado,90,L9-15,R71,0.02500,0.21673,1.17,0.102,L15-16,R52,0.09561,0.051,0.5,0.2865,-0.015500000000000014,-0.015500000000000014
